level,unit,lesson,lesson_md,listening_script,audio_generated,phrases,grammar,pronunciation,response_prompts,conversation_coach,quiz,reading,writing,review_status,publish_status
A1,unit-01-greeting-introducing-yourself,lesson-01-saying-hello,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-01-greeting-introducing-yourself,lesson-02-saying-your-name,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-01-greeting-introducing-yourself,lesson-03-asking-someones-name,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-01-greeting-introducing-yourself,lesson-04-saying-where-you-are-from,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-01-greeting-introducing-yourself,lesson-05-first-conversation-mission,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-02-spelling-numbers-contact,lesson-01-spelling-your-name,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-02-spelling-numbers-contact,lesson-02-giving-phone-numbers,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-02-spelling-numbers-contact,lesson-03-sharing-email-addresses,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-02-spelling-numbers-contact,lesson-04-asking-for-repetition,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-02-spelling-numbers-contact,lesson-05-contact-details-mission,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-03-daily-routine-time,lesson-01-telling-the-time,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-03-daily-routine-time,lesson-02-talking-about-daily-routines,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-03-daily-routine-time,lesson-03-days-and-simple-schedules,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-03-daily-routine-time,lesson-04-asking-when-something-happens,done,done,no,done,done,done,done,done,done,done,done,ready,published
A1,unit-03-daily-routine-time,lesson-05-routine-conversation-mission,done,done,no,done,done,done,done,done,done,done,done,ready,published
